Date,Open,High,Low,Close,Volume,Adj Close
2015-11-13,290.00,295.00,289.00,292.50,89200,292.50
2015-11-12,294.00,297.80,290.00,290.00,115300,290.00
2015-11-11,294.00,297.50,290.00,296.00,107400,296.00
2015-11-10,294.00,299.00,290.00,299.00,110800,299.00
2015-11-09,295.00,298.00,290.00,294.00,57200,294.00
2015-11-06,299.00,299.00,299.00,299.00,000,299.00
2015-11-05,300.00,304.50,292.00,299.00,115400,299.00
2015-11-04,299.70,305.50,297.50,300.00,110800,300.00
2015-11-03,294.00,300.00,287.00,298.00,217000,298.00
2015-11-02,290.00,300.00,289.00,294.00,114700,294.00
2015-10-30,281.50,293.00,281.50,290.00,192100,290.00
2015-10-29,288.05,294.00,277.05,280.85,156700,280.85
2015-10-28,265.00,280.00,261.00,277.00,305200,277.00
2015-10-27,263.50,267.00,249.00,259.00,154800,259.00
2015-10-26,274.00,276.50,265.00,271.00,355000,271.00
2015-10-23,252.00,261.00,247.00,256.90,196700,256.90
2015-10-22,240.00,254.00,240.00,250.00,113400,250.00
2015-10-21,238.00,243.00,236.00,237.00,114600,237.00
2015-10-20,243.00,247.00,241.55,242.00,102600,242.00
2015-10-19,245.00,246.00,240.20,241.90,87200,241.90
2015-10-16,240.50,250.00,240.10,248.00,72500,248.00
2015-10-15,245.00,247.50,236.00,246.00,94200,246.00
2015-10-14,245.50,250.50,242.00,245.00,72500,245.00
2015-10-13,254.00,258.50,242.80,244.00,104100,244.00
2015-10-12,264.00,264.00,264.00,264.00,000,264.00
2015-10-09,274.00,274.00,263.00,264.00,129200,264.00
2015-10-08,265.80,276.00,253.00,271.00,193700,271.00
2015-10-07,259.00,265.00,254.00,263.90,218700,263.90
2015-10-06,240.00,256.50,238.00,246.00,218400,246.00
2015-10-05,225.00,241.45,222.00,233.50,221800,233.50
2015-10-02,205.00,221.00,205.00,219.50,175800,219.50
2015-10-01,219.00,219.00,207.00,207.00,237800,207.00
2015-09-30,213.00,215.00,209.00,214.00,245800,214.00
2015-09-29,214.00,215.00,209.00,211.50,251900,211.50
2015-09-28,219.90,219.90,209.00,209.00,163300,209.00
2015-09-25,223.00,228.50,213.00,227.00,407000,227.00
2015-09-24,228.75,228.75,201.00,219.00,561600,219.00
2015-09-23,244.00,244.00,227.00,231.50,74400,231.50
2015-09-22,250.00,254.00,232.20,241.00,220300,241.00
2015-09-21,280.00,280.00,255.00,258.00,83800,258.00
2015-09-18,283.00,290.00,273.80,276.50,61600,276.50
2015-09-17,291.00,298.50,286.00,290.00,31400,290.00
2015-09-16,288.00,292.00,286.00,286.00,55400,286.00
2015-09-15,293.00,297.00,285.00,285.00,68700,285.00
2015-09-14,300.00,304.00,293.00,293.00,28100,293.00
2015-09-11,305.15,311.00,304.00,307.00,22600,307.00
2015-09-10,308.20,311.50,302.00,309.75,48800,309.75
2015-09-09,312.00,314.00,307.00,308.00,89000,308.00
2015-09-08,300.00,308.00,300.00,308.00,67100,308.00
2015-09-07,305.00,306.50,300.50,302.50,18300,302.50
2015-09-04,300.00,305.00,298.00,305.00,27100,305.00
2015-09-03,299.00,306.00,299.00,301.00,58300,301.00
2015-09-02,292.85,299.00,288.00,297.00,41000,297.00
2015-09-01,299.00,300.00,289.00,293.00,82900,293.00
2015-08-31,287.00,299.50,282.00,298.00,147300,298.00
2015-08-28,286.00,307.00,286.00,288.00,62800,288.00
2015-08-27,279.00,290.00,276.00,288.00,100000,288.00
2015-08-26,270.00,279.00,265.50,273.50,77500,273.50
2015-08-25,280.00,285.00,263.00,265.00,83700,265.00
2015-08-24,285.00,285.00,273.00,276.00,114300,276.00
2015-08-21,300.00,302.00,295.00,297.00,82000,297.00
2015-08-20,312.00,312.00,304.00,305.95,43900,305.95
2015-08-19,311.00,317.00,309.00,314.00,54900,314.00
2015-08-18,321.95,322.75,319.00,322.00,49400,322.00
2015-08-17,322.00,322.00,322.00,322.00,000,322.00
2015-08-14,332.00,332.75,322.00,322.00,32200,322.00
2015-08-13,323.25,333.00,323.25,332.80,29900,332.80
2015-08-12,328.00,335.00,327.50,328.75,38000,328.75
2015-08-11,324.00,337.00,320.00,336.00,53200,336.00
2015-08-10,315.00,333.00,315.00,332.45,55100,332.45
2015-08-07,316.00,316.90,313.00,313.80,54200,313.80
2015-08-06,310.00,317.90,303.55,316.50,93800,316.50
2015-08-05,306.00,311.00,300.00,308.00,67200,308.00
2015-08-04,302.10,307.00,298.50,300.90,91900,300.90
2015-08-03,306.00,306.00,301.60,302.00,70500,302.00
2015-07-31,310.00,312.00,304.50,305.50,49400,305.50
2015-07-30,316.90,316.90,305.50,309.50,67000,309.50
2015-07-29,307.00,318.00,305.00,316.00,110400,316.00
2015-07-28,301.00,310.00,298.00,305.00,146600,305.00
2015-07-27,315.00,316.00,303.50,308.00,56300,308.00
2015-07-24,330.00,330.00,314.00,317.00,61300,317.00
2015-07-23,335.00,335.00,327.25,329.15,45000,329.15
2015-07-22,336.00,336.00,327.00,335.00,87100,333.72
2015-07-21,333.90,341.00,331.00,335.00,48300,332.44
2015-07-20,341.25,345.00,332.00,334.00,49100,331.45
2015-07-17,342.00,342.50,335.50,341.50,40600,338.90
2015-07-16,349.00,349.50,340.10,340.20,91500,337.61
2015-07-15,351.50,353.50,341.10,344.00,97800,341.38
2015-07-14,336.00,355.00,336.00,351.70,48800,349.02
2015-07-13,340.00,344.00,334.50,336.95,45900,334.38
2015-07-10,340.00,344.00,336.00,338.00,35300,335.42
2015-07-09,338.90,338.90,338.90,338.90,000,336.32
2015-07-08,352.00,352.00,337.70,338.90,49900,336.32
2015-07-07,354.00,354.00,338.00,351.95,57700,349.27
2015-07-06,354.00,362.00,350.00,356.50,21800,353.78
2015-07-03,361.00,361.50,356.00,356.00,15400,353.28
2015-07-02,355.50,363.50,355.50,361.00,41700,358.25
2015-07-01,352.00,363.00,352.00,355.75,92200,353.04
2015-06-30,340.00,355.00,340.00,353.00,219100,350.31
2015-06-29,338.00,342.00,338.00,341.00,106000,338.40
2015-06-26,348.00,349.00,343.20,345.40,100700,342.77
2015-06-25,346.00,352.50,346.00,348.15,44600,345.49
2015-06-24,344.00,349.00,344.00,346.00,62100,343.36
2015-06-23,346.00,347.00,339.00,344.25,75500,341.62
2015-06-22,329.00,346.00,329.00,345.50,123700,342.86
2015-06-19,326.00,332.00,326.00,328.50,58100,325.99
2015-06-18,317.10,330.50,317.10,327.00,203000,324.51
2015-06-17,322.00,324.90,315.00,321.00,118200,318.55
2015-06-16,333.00,333.00,326.00,328.00,38200,325.50
2015-06-15,330.00,336.00,330.00,333.00,37500,330.46
2015-06-12,340.00,340.00,335.00,337.00,22300,334.43
